city,land_use,price_per_m2_sell,cost_per_m2_build,soft_cost_pct,avg_unit_size_m2,sales_months,build_months,discount_rate_annual
Neiva,Mixto,4950000,2695000,0.14,65,18,20,0.16
Neiva,Comercial,5400000,2817500,0.16,95,22,22,0.16
Neiva,Oficinas,4950000,2744000,0.15,80,20,22,0.16
Popayán,Residencial,4300000,2380000,0.13,60,16,18,0.16
Popayán,Mixto,4730000,2618000,0.14,65,18,20,0.16
Popayán,Comercial,5160000,2737000,0.16,95,22,22,0.16
Popayán,Oficinas,4730000,2665600,0.15,80,20,22,0.16
Sincelejo,Residencial,4200000,2350000,0.13,60,16,18,0.16
Sincelejo,Mixto,4620000,2585000,0.14,65,18,20,0.16
Sincelejo,Comercial,5040000,2702500,0.16,95,22,22,0.16
Sincelejo,Oficinas,4620000,2632000,0.15,80,20,22,0.16
Tunja,Residencial,4600000,2450000,0.13,60,16,18,0.16
Tunja,Mixto,5060000,2695000,0.14,65,18,20,0.16
Tunja,Comercial,5520000,2817500,0.16,95,22,22,0.16
Tunja,Oficinas,5060000,2744000,0.15,80,20,22,0.16
Riohacha,Residencial,4100000,2300000,0.13,60,16,18,0.16
Riohacha,Mixto,4510000,2530000,0.14,65,18,20,0.16
Riohacha,Comercial,4920000,2645000,0.16,95,22,22,0.16
Riohacha,Oficinas,4510000,2576000,0.15,80,20,22,0.16
Florencia,Residencial,4000000,2300000,0.13,60,16,18,0.16
Florencia,Mixto,4400000,2530000,0.14,65,18,20,0.16
Florencia,Comercial,4800000,2645000,0.16,95,22,22,0.16
Florencia,Oficinas,4400000,2576000,0.15,80,20,22,0.16
Yopal,Residencial,4500000,2420000,0.13,60,16,18,0.16
Yopal,Mixto,4950000,2662000,0.14,65,18,20,0.16
Yopal,Comercial,5400000,2783000,0.16,95,22,22,0.16
Yopal,Oficinas,4950000,2710400,0.15,80,20,22,0.16
Quibdó,Residencial,3800000,2250000,0.13,60,16,18,0.16
Quibdó,Mixto,4180000,2475000,0.14,65,18,20,0.16
Quibdó,Comercial,4560000,2587500,0.16,95,22,22,0.16
Quibdó,Oficinas,4180000,2520000,0.15,80,20,22,0.16
Buenaventura,Residencial,4200000,2380000,0.13,60,16,18,0.16
Buenaventura,Mixto,4620000,2618000,0.14,65,18,20,0.16
Buenaventura,Comercial,5040000,2737000,0.16,95,22,22,0.16
Buenaventura,Oficinas,4620000,2665600,0.15,80,20,22,0.16
